file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransitionChange/0,changeAppearAnimator,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransitionChange/0,pvhBottom,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransitionChange/0,pvhLeft,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransitionChange/0,pvhTop,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,onClick/1[com.chiclaim.customview.animation.basic.View],v,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,addButtonView/0,button,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,addButtonView/0,params,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransition/0,animIn,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransition/0,mTransitioner,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransition/0,animOut,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\MainActivity.java,com.chiclaim.optimization.MainActivity$Anonymous3,onClick/1[com.chiclaim.optimization.View],v,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\create\RxUtils.java,com.chiclaim.rxjava.operator.create.RxUtils$Anonymous3$Anonymous4,call/1[T],result,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\MainActivity.java,com.chiclaim.optimization.MainActivity$Anonymous4,onClick/1[com.chiclaim.optimization.View],v,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-ndk\AndroidNativeDemo\app\src\main\java\com\chiclaim\androidnative\jni\User.java,com.chiclaim.androidnative.jni.User,User/1[java.lang.String],username,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\exception\NetworkException.java,com.chiclaim.rxjava.exception.NetworkException,NetworkException/1[java.lang.String],detailMessage,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\UseRxJavaRightWayActivity.java,com.chiclaim.rxjava.UseRxJavaRightWayActivity,onCreate/1[com.chiclaim.rxjava.Bundle],savedInstanceState,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\UseRxJavaRightWayActivity.java,com.chiclaim.rxjava.UseRxJavaRightWayActivity,onCreate/1[com.chiclaim.rxjava.Bundle],subscriptionForUser,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\UseRxJavaRightWayActivity.java,com.chiclaim.rxjava.UseRxJavaRightWayActivity,launch/1[com.chiclaim.rxjava.Context],context,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\generic\Foo.java,com.chiclaim.generic.Foo,setData/1[T],data,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.LayoutAnimationFragment,setAnimationByCode/0,controller,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.LayoutAnimationFragment,setAnimationByCode/0,animation,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.LayoutAnimationFragment,initViews/1[com.chiclaim.customview.animation.basic.View],view,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.LayoutAnimationFragment,getData/1[int],offset,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.LayoutAnimationFragment,getData/1[int],data,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.LayoutAnimationFragment,getData/1[int],i,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\PropertyAnimInterpolatorFragment.java,com.chiclaim.customview.animation.basic.PropertyAnimInterpolatorFragment$Anonymous2,onAnimationUpdate/1[com.chiclaim.customview.animation.basic.ValueAnimator],value,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\PropertyAnimInterpolatorFragment.java,com.chiclaim.customview.animation.basic.PropertyAnimInterpolatorFragment$Anonymous2,onAnimationUpdate/1[com.chiclaim.customview.animation.basic.ValueAnimator],animation,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\java\lang\Test.java,java.lang.Test,main/1[java.lang.String[]],args,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\serialization\SerializableTest.java,com.chiclaim.serialization.SerializableTest,writeObj/1[com.chiclaim.serialization.SerializableTest.User],oos,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\serialization\SerializableTest.java,com.chiclaim.serialization.SerializableTest,writeObj/1[com.chiclaim.serialization.SerializableTest.User],user,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\serialization\SerializableTest.java,com.chiclaim.serialization.SerializableTest,main/1[java.lang.String[]],args,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\serialization\SerializableTest.java,com.chiclaim.serialization.SerializableTest,readObj/0,ois,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\reflection\CreateObject.java,com.chiclaim.reflection.Animal,Animal/1[java.lang.String],name,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\reflection\CreateObject.java,com.chiclaim.reflection.Animal,Animal/1[int],age,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\model\IMenuBalanceSource.java,com.chiclaim.dagger.sample.model.IMenuBalanceSource,addMenuBalance/1[com.chiclaim.dagger.sample.Callback<com.chiclaim.dagger.sample.bean.MenuBalance>],callback,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\instruction\MethodHandlerTest.java,instruction.MethodHandlerTest,main/1[java.lang.String[]],args,0
