file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\MainActivity.java,com.chiclaim.optimization.MainActivity,class,3,4,1,3,4,2,0,8,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,8,0,0,0,0,0,4,0,0,19,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\GridLayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.GridLayoutAnimationFragment$GridAdapter,innerclass,5,5,0,5,4,2,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\model\MenuBalanceRepository2.java,com.chiclaim.dagger.sample.model.MenuBalanceRepository2,class,5,6,1,5,2,1,0,1,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\BaseFragment.java,com.chiclaim.customview.animation.BaseFragment,class,10,29,19,10,10,2,18,14,26,0.75,0.035714287,0.035714287,8,0,5,0,3,0,8,1,1,0,1,0,0,0,1,0,0,0,0,30,1,0,1,0,0,0,0,2,0,2,1,0,0,0,36,1025,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorCustomPropertyFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorCustomPropertyFragment,class,5,6,1,5,4,3,0,10,1,0.33333334,0.33333334,0.33333334,3,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,23,1,0,0,0,0,2,3,2,0,2,1,0,0,0,26,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-framework\layout-inflater\src\main\java\com\chilaim\android\sample\inflater\MainActivity.java,com.chilaim.android.sample.inflater.MainActivity,class,7,8,1,7,10,2,0,11,9,0.42857143,0.0,0.0,7,0,3,3,1,0,4,0,0,0,2,0,0,0,0,2,0,0,0,51,0,0,3,0,0,15,0,8,3,8,1,0,0,0,35,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\java-core\src\com\chiclaim\generic\BoundedTypeParameter.java,com.chiclaim.generic.BoundedTypeParameter$IBound,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\PropertyAnimVSTranslateFragment.java,com.chiclaim.customview.animation.basic.PropertyAnimVSTranslateFragment,class,4,5,1,4,8,3,0,19,2,0.625,0.33333334,0.5,4,0,2,0,2,0,4,0,0,0,4,0,0,2,0,2,0,0,0,61,1,0,1,0,0,2,8,3,0,5,1,2,0,0,37,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-fragment\fragment\src\main\java\com\module\chiclaim\com\fragment\FragmentForResult.java,com.module.chiclaim.com.fragment.FragmentForResult$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-kotlin\kotlin-sample\kotlin-in-action\src\visibility_modifier\modifier_class\JavaProtectedClass.java,visibility_modifier.modifier_class.JavaProtectedClass,class,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,0
