file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\view\RectView.java,com.chiclaim.customview.view.RectView,onDraw/1[com.chiclaim.customview.view.Canvas],height,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\view\RectView.java,com.chiclaim.customview.view.RectView,"onMeasure/2[int,int]",width,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\view\RectView.java,com.chiclaim.customview.view.RectView,"onMeasure/2[int,int]",height,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\RxJavaLeakFragment.java,com.chiclaim.rxjava.operator.RxJavaLeakFragment,onStop/0,timerSubscription,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\RxJavaLeakFragment.java,com.chiclaim.rxjava.operator.RxJavaLeakFragment,onDestroy/0,retrofitSubscription,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\RxJavaLeakFragment.java,com.chiclaim.rxjava.operator.RxJavaLeakFragment,doRetrofit/0,otherApi,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\RxJavaLeakFragment.java,com.chiclaim.rxjava.operator.RxJavaLeakFragment,doRetrofit/0,retrofitSubscription,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\RxJavaLeakFragment.java,com.chiclaim.rxjava.operator.RxJavaLeakFragment,timerOperator/0,timerSubscription,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\TryWhenFragment.java,com.chiclaim.rxjava.operator.TryWhenFragment,onClick/1[com.chiclaim.rxjava.operator.View],tvLogs,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\TryWhenFragment.java,com.chiclaim.rxjava.operator.TryWhenFragment,onClick/1[com.chiclaim.rxjava.operator.View],userApi,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\TryWhenFragment.java,com.chiclaim.rxjava.operator.TryWhenFragment,"onViewCreated/2[com.chiclaim.rxjava.operator.View,com.chiclaim.rxjava.operator.Bundle]",tvLogs,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\compat\MZEditText.java,com.chiclaim.customview.compat.MZEditText,removeExtraWidth/0,mDisableExtraWidth,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\compat\MZEditText.java,com.chiclaim.customview.compat.MZEditText,setExtraWidth/1[int],mExtraWidth,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\compat\MZEditText.java,com.chiclaim.customview.compat.MZEditText,"onMeasure/2[int,int]",mExtraWidth,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\compat\MZEditText.java,com.chiclaim.customview.compat.MZEditText,"onMeasure/2[int,int]",mDisableExtraWidth,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\NetErrorType.java,com.chiclaim.rxjava.api.NetErrorType,getErrorType/1[java.lang.Throwable],TYPE_ERROR_UNKNOW_HOST,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\NetErrorType.java,com.chiclaim.rxjava.api.NetErrorType,getErrorType/1[java.lang.Throwable],TYPE_ERROR_TIME_OUT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\NetErrorType.java,com.chiclaim.rxjava.api.NetErrorType,getErrorType/1[java.lang.Throwable],TYPE_ERROR_CONVERSION,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\NetErrorType.java,com.chiclaim.rxjava.api.NetErrorType,getErrorType/1[java.lang.Throwable],TYPE_ERROR_UNKNOW,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\NetErrorType.java,com.chiclaim.rxjava.api.NetErrorType,getErrorType/1[java.lang.Throwable],TYPE_ERROR_CONNECT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\UnSubscriptionFragment.java,com.chiclaim.rxjava.operator.UnSubscriptionFragment,"onViewCreated/2[com.chiclaim.rxjava.operator.View,com.chiclaim.rxjava.operator.Bundle]",subscription2,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\UnSubscriptionFragment.java,com.chiclaim.rxjava.operator.UnSubscriptionFragment,"onViewCreated/2[com.chiclaim.rxjava.operator.View,com.chiclaim.rxjava.operator.Bundle]",tvLogs,1
